"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"7791","皇家可口","63.4","13.8","-8.52","26Q1","1.87","5.61","5.34","3.66","6.01","","13.3","11.9","11.6","11.4","冰品急凍熟麵"
"7811","民盛","72","13.3","-7.35","26Q1","1.09","8.1","9.17","5.81","7.87","","29.5","13.7","15.5","9.5","運動用之功能鞋及護具裝配生產製造"
"8034","榮群","20.1","10","-35","26Q1","0.01","1.42","1","1.51","5.97","-119","12.6","11.4","8.44","13","有線通信機械器材製造業無線通信機械器材製造業通信工程業"
"8114","振樺電","195.5","13","-25.8","26Q1","2.75","18.5","12.55","5.55","5.87","+6.27","29.6","31.4","27.2","11.5","端點銷售管理系統(POS)及其週邊設備和服務資訊服務系統整體解決方案"
"8183","精星","33.35","13","+24.2","26Q1","0.3","2.39","3.26","4.5","2.4","-231","56.6","8","11.5","17.3","CC01080電子零組件製造業。CC01050資料儲存及處理設備製造業。一般進出口貿易 (許可業務除外)。"
"8271","宇瞻","181.5","8.84","+251","26Q1","14.54","6.7","2.18","4.51","2.45","-53.5","58.4","18","6.43","13.8","記憶體模組快閃記憶體其他"
"8279","生展","88","9.79","-7.62","26Q1","1.23","10.02","8.86","10.14","5.68","+92.5","25.8","11.8","11","13.3","微生物醫藥原料藥製造、銷售、買賣業生化營養品製造、銷售、買賣業預防醫學、動物保健銷售、買賣業"
"8284","三竹","62.8","13.7","+12.1","26Q1","1.28","4.74","5.56","4.21","6.37","-41.4","31.3","16.2","20","15.8","簡訊發送服務。行動裝置平台系統程式的開發與建置等業務。"
"8359","錢櫃","60.2","10.9","-6.89","25Q4","5.54","5.54","8.86","9.52","8.38","+82.4","27","7.71","12","13.2","視聽歌唱餐飲"
"8390","金益鼎","102","12.3","+39.2","26Q1","2.87","6.6","4.84","5.57","3.73","-336","23.5","18","14.9","18.9","廢棄物清除處理業務及貴金屬回收及處理業務。銅、錫、鎳、鋁之金屬五金加工業務。機械五金、電子零件、塑膠廢料、....等之報廢材料買賣業務。"
"8401","白紗科","22.95","8.56","+5.09","26Q1","0.46","2.63","2.59","1.81","5.23","-55.1","43.1","15.9","16","10.8","包裝盒、標籤印刷產品之製造加工買賣。名片、海報、書冊、信封等紙製品印刷之製造加工買賣。桌月曆、手提袋及前各項有關之進出口貿易業務。"
"8410","森田","32.7","12","-23.7","26Q1","0.57","3.27","7.54","5.33","4.89","-103","16.7","6.44","15.7","12.3","印刷業製版業電腦及其週邊設備製造業"
"8415","大國鋼","36.6","10.9","+18.8","26Q1","1.03","3.05","2.22","3.04","4.1","-50.6","33.6","11","8.2","11.7","扣件買賣"
"8416","實威","170","12.1","+10.2","26Q1","3.36","13.46","11.01","10.23","5","+12.1","16.6","23.9","21.1","20.7","3D 繪圖軟體 ( SOLIDWORKS)3D CAD/CAM/CAE/CAID軟體銷售PDM產品研發生產及銷售, 顧問輔導與客製化服務"
"8424","惠普","68.8","11.8","-1.29","26Q1","1.47","5.8","4.61","4.24","7.27","-6.46","14.6","18.3","15","13.9","矽酸鈣板、纖維水泥板製造及銷售"
"8426","紅木-KY","19.9","9.61","-0.64","26Q1","-0.42","1.85","5.03","6.55","4.02","-19.8","47.3","7.26","21.4","35.5","全球性高級精品名牌店之裝潢客製化傢俱之製造銷售"
"8436","大江","115.5","12.3","-0.85","26Q1","1.92","8.68","7.6","7.73","5.19","+56.2","33.8","11.9","10.1","9.94","保健食品及保養品之研發、製造及銷售"
"8446","華研","87.1","9.94","+18.6","26Q1","1.78","10.3","11.44","8.23","9.18","+17.2","35.4","25.1","30.8","25.1","流行音樂之製作及發行著作權授權藝人演藝經紀"
"8478","東哥遊艇","156","9.5","-1.41","26Q1","3.8","13.25","10.37","23.66","4.17","+394","37","14.1","13","39.5","豪華遊艇及其零配件製造及銷售。"
"8487","愛爾達-創","76.1","13.6","+59.3","26Q1","2.58","4.03","6.85","5.98","6.32","+40.1","46.2","15.6","29","31.9","數位內容廣告託播代理專案及其他"
"8924","大田","56.4","11.7","+6.95","26Q1","0.05","5.63","5.66","4.85","7.62","-12.4","31.9","11.3","11.8","9.74","高爾夫球桿頭及其半成品之製造、委託加工、裝配及銷售藝術鑄品(不銹鋼質及銅質)之製造加工及銷售前述各項有關產品之進出口貿易業務"
"8930","青鋼","31.8","13.3","-4.08","26Q1","0.62","2.4","3.01","3.12","6.92","-215","35.6","13","16.2","18.1","輕鋼架.防火門之製造,買賣業務經營有關進出口業務各種機械之製造及買賣業務"
"8936","國統","54.9","12.7","+20.1","26Q1","0.99","4.08","3.37","2.88","5.46","-65","38.1","13.1","11.8","11.3","預力混凝土管及各種水泥製品、預拌混凝土製造買賣前項有關水泥製品之自來水管承裝業務有關自來水管之零件,鋼管包覆及另件包覆等製造買賣及承裝業務"
"9802","鈺齊-KY","74.6","13.1","+0.37","26Q1","0.89","6.05","7.23","7.87","6.84","-70.2","38.7","8.69","10.4","14","運動鞋及戶外鞋之代工生產、銷售"
"9911","櫻花","83.9","13.1","+6.29","26Q1","1.87","6.27","5.94","4.9","5.96","-4.09","44.5","20.2","20.5","18.2","除油煙機.瓦斯爐.熱水器.系統廚具"
"9930","中聯資源","63.7","13.4","-6.64","26Q1","1.1","4.96","4.66","3.38","6.28","-12.6","38.1","18.6","18.3","13.8","爐石資源化應用有關產品之製造、加工、代工生產及買賣。高爐石粉末之製造、加工、代工生產、買賣及進出口。高爐水泥混拌、 製造、加工、代工生產、買賣及進出口。"
"9939","宏全","125","13.8","+3.42","26Q1","2.25","9.1","9.8","8.6","4.96","-1.79","59.4","13.8","16.1","16","塑蓋、鋁蓋、爪蓋、標籤、PET瓶、瓶胚飲料充填代工業務"
"9943","好樂迪","53.4","10","-6.23","26Q1","1.88","5.4","7.74","8.81","6.55","+54.3","36.3","11.5","16.2","19.1","提供伴唱視聽供人唱歌"
"9945","潤泰新","26.4","7.17","+40.4","26Q1","0.99","3.93","6.07","2.65","4.17","+21.8","41.2","11.9","18.6","9.61","委託營造廠興建國民住宅．商業大樓出租出售業務辦理國內外工業區及區內之社區廠房及大樓之開發規劃及租售從事商品之處理．包裝．分類．倉儲及前各項產品之加工批發業務"
"9951","皇田","53.4","10.7","+7.86","26Q1","1.46","5.27","4.2","5.77","6.03","+12.4","38.9","10.4","8.64","12.4","汽窗窗簾割草機"
