"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"6176","瑞儀","87.5","9.33","-4.03","26Q1","2.29","9.4","15.63","11.35","4","-17.5","50","11.8","20.1","15.5","CC01080電子零組件製造業CQ01010模具製造業CC01040照明設備製造業"
"6186","新潤","43.1","5.36","-25.2","26Q1","2.09","7.81","5.63","2.97","11.6","+98.1","63.7","33.8","27.5","14.2","住宅及大樓開發租售業、不動產買賣業、不動產租賃業。"
"6192","巨路","119.5","12.2","+3.69","26Q1","2.63","10.06","10.48","8.17","4.85","-9.06","42.6","13.3","14.9","12.5","程控儀器買賣及程控系統整合工程提供電子及通信元件之經銷代理"
"6203","海韻電","67.5","13.3","-26.9","26Q1","1.37","5.51","3.5","7.58","5.93","-43.8","15.5","15","9.62","21.6","交換式電源供應器(Switching Power Supplies,SPS)之生產與銷售"
"6214","精誠","132","13.8","+27.6","26Q1","2.64","7.91","7.66","6.02","4.55","-24.3","47.4","12.4","12.3","10.7","資訊軟體服務業、電子資訊供應服務業資料處理服務業、電腦及事務性機器設備零售業資訊軟體零售業"
"6248","沛波","18.25","13.6","-25.6","26Q1","0.28","1.53","3.07","4.02","6.43","+114","45.5","6.45","12.1","20.4","鋼材二次加工業、建材批發業、建材零售業"
"6266","泰詠","25.45","13.9","-6.13","26Q1","0.39","2","2.62","2.15","6.99","+87","34.5","12.1","15.8","13.3","電子產品、通信器材之設計及生產製造(含加工設計及製造)電子元件、半成品及成品之進出口業務電子產品之設計及生產製造技術諮詢"
"6279","胡連","119","12.7","+2.32","26Q1","1.6","10.74","12.79","9.24","4.62","+3.12","40.4","15.4","19.4","15.9","電子零件(端子)五金機械配件等製造加工及買賣(模具端子壓著機)塑膠件模具製造,電子零組件製造業(端子)及電子材料,模具批發零售"
"6294","智基","27.5","10.6","-13.8","26Q1","-0.07","2.78","1.79","9.46","10.9","+2262","63.7","12.4","6.66","31.8","短期補習班業"
"6527","明達醫","72.1","12.7","-15.2","26Q1","1.33","5.8","5.02","4.13","4.02","+21.7","25.8","14.9","14.2","12.7","醫療相關儀器之設計、製造及銷售"
"6532","瑞耘","91.8","13.3","-0.81","26Q1","0.84","7.31","4.03","3.59","3.27","+23.1","23.5","23.2","14.2","13.6","半導體零組件系統設備"
"6556","勝品","71.4","11","+13.2","26Q1","1.72","6.79","8.85","6.17","4.9","-36.2","28.6","12.4","17.9","13.6","電腦及週邊設備軟硬體、電器及視聽電子產品製造及銷售有線無線通信機械器材製造及銷售電子零組件、電子材料製造及銷售"
"6574","霈方","114.5","13","+30.9","26Q1","3.29","6.82","4.1","2.12","2.62","+17.8","25.7","19.2","13.8","7.3","美容美體保養相關產品之研發及銷售及諮詢服務除許可業務外，得經營法令非禁止或限制之業務"
"6577","勁豐","74.4","12.6","+0.29","26Q1","1.67","5.64","6.63","7.11","6.72","+1.34","33.6","22.2","29","23.7","醫療及特殊應用嵌入式顯示器模組"
"6590","普鴻","66","12.7","+7.88","26Q1","0.84","5.12","5.04","6.08","4.24","+150","37","17.7","15.3","20.6","資訊軟體服務電子資訊供應服務"
"6596","寬宏藝術","92.2","5.4","+91.7","26Q1","2.08","18.83","6.27","5.94","20.3","+1328","61.9","49.7","20.3","26.2","國內外演唱會、展覽、藝文活動主辦及執行國內外演唱會、展覽、藝文活動製作國內外演唱會、展覽、藝文活動票券銷售"
"6605","帝寶","133","9.98","-4.79","26Q1","4.41","13.97","18.98","14.29","4.89","-6.21","36.9","11.6","17","14","汽車車燈汽車百貨零件"
"6625","必應","79.2","7.86","+37.2","26Q1","1.42","9.13","5.84","6.68","6.31","-55.6","49.3","35.4","30.6","40.9","演唱會製作硬體設備租賃"
"6637","醫影","62.7","9.32","-60.3","26Q1","1.01","7.17","7.17","5.66","7.18","","37.5","18.4","22.7","22.8","醫療設備經銷醫院設備租賃、設備維修醫藥品銷售"
"6670","復盛應用","254.5","12.4","+10.3","26Q1","6.96","22.45","28.17","18.18","6.29","+16.5","33.7","19.5","27.9","20.2","高爾夫球桿頭等各項金屬製品之製造加工裝配買賣業務高爾夫球具(桿、握把、頭)之裝配及買賣業務"
"6671","三能-KY","24.8","10.8","-13.2","26Q1","0.26","2.37","3.18","2.89","4.84","","21","8.36","11.2","10.5","各式烘焙器具之研發、製造與銷售"
"6697","東捷資訊","41","13.9","+4.54","26Q1","0.79","3.04","2.61","2.71","6.34","","41.2","13.6","12.1","13","ERP專業顧問服務系統開發、資安、雲端導入顧問服務資料處理與輸出服務、客服委外服務"
"6703","軒郁","119.5","11.7","+13.5","26Q1","1.87","9.9","10.16","14.66","4.02","","49.3","24.2","21.8","34.2","美妝保養品及生技保健之研發與銷售除許可業務外，得經營法令非禁止或限制之業務"
"6721","信實","55.1","11.6","+6.61","26Q1","1.48","4.65","4.39","3.33","5.99","","41.6","16.3","16.4","13.1","保全業公寓大廈管理服務業建築物清潔服務業"
"6722","輝創","34.25","13.8","-6.1","26Q1","0.34","2.9","2.6","4.67","5.84","","45.5","10.7","10.1","20.5","倒車雷達、攝影鏡頭、汽車防盜器等"
"6728","上洋","110","12.1","-2.03","26Q1","1.97","9.77","11.71","10.28","5.91","","58.6","14.8","20.5","23.4","商用洗衣服務家電空調銷售其　　他"
"6737","秀育","30.1","10.3","-23.6","25Q4","2.93","2.93","7.36","3.67","5.32","","41.3","9.89","26","14.3","各類電子零件電腦周邊設備製造與進出口貿易業務其他"
"6741","91APP*-KY","60.9","13.8","+31.6","26Q1","1.15","4.4","4.22","3.37","3.37","","39.3","15.8","16.4","15","新零售軟體開發暨服務數據 x 電商服務"
"6750","泰創工程","65.8","13","-26.2","25Q4","5.05","5.05","3.61","1.63","5.32","","67.2","21.8","18.2","13.5","一般機電整合工程無塵室機電整合工程太陽能電廠系統整合工程服務"
"6752","叡揚","101","13.5","+4.24","26Q1","1.39","7.41","6.14","6.14","4.46","","53.9","20.5","18.4","19.7","資訊軟體服務銷售"
"6763","綠界科技*","46.35","11.2","+12.5","26Q1","0.55","4.21","1.94","21.66","6.47","","60","25.7","12.6","14.9","第三方支付業務"
"6771","平和環保-創","38.75","13","-14.7","26Q1","0.69","3.64","3.89","4.76","8.26","","34.7","12.8","14.5","18.8","廢污水代處理--"
"6782","視陽","199.5","13.5","+19.3","26Q1","3.82","14.08","10.1","4.79","4.21","","32.7","21.7","19.1","9.67","拋棄式隱形眼鏡製造及銷售"
"6790","永豐實","40.6","13.2","-0.51","26Q1","0.83","3.03","2.78","3.62","6.53","","43.5","14","13.1","17.6","紙品清潔用品"
"6807","峰源-KY","33.2","9.65","-27.4","26Q1","0.63","4.69","8.88","4.41","7.53","","29.5","9.77","20.5","11.7","室內家具研發設計生產銷售其他"
"6817","溫士頓","59.3","9.31","-17.3","25Q4","6.37","6.37","7.15","8.62","8.43","","45.2","27.1","30.3","40.2","學名藥及代工"
"6846","綠茵","64.8","13.3","-13.6","26Q1","1.15","5.39","5.43","5.04","6.09","","60.8","15.9","17.7","19.2","保健食品及原料之研發、製造、銷售。"
"6881","潤德","230","11.1","+4.27","26Q1","5.23","19.42","15.52","10.97","8.04","","56.5","32.4","32.4","31.2","室內裝潢之設計及施工、庭園綠化設計展市會場和博覽會場之設計與佈置傢俱之銷售、組裝及進出口等業務"
"6951","青新-創","78.9","13.7","+22.5","26Q1","1.49","5.39","4.87","2.61","5.07","","38.9","22.3","24.3","16.5","醫療及事業廢棄物清運廢水處理青新木銷售"
"7708","全家餐飲","94.2","13.8","+12.7","26Q1","1.92","6.46","5.39","4.31","5.84","","51.3","16.3","15.5","16.1","餐飲服務業"
"7718","友鋮","46.9","11","+1.66","26Q1","1.5","3.75","6.08","5.72","5.33","","22.5","11.8","19.8","19.8","螺絲、螺帽、螺絲釘、及鉚釘等製品製造業。汽、機車零件配備批發業。機械批發業。"
"7753","星亞","42.2","10.2","-4.32","26Q1","1.08","4.22","3.56","3","3.55","","38.4","22.1","24.2","22","數位顯示系統視覺燈光系統以上各項目及其系統產品之研發設計製造銷售及售後服務"
"7757","金色三麥","94.8","11.2","+3.87","26Q1","1.64","8.97","10.01","10.54","8.18","","51.1","20.5","26.8","32","精釀啤酒釀造餐廳經營各式飲品銷售"
"7764","聖州","12.25","11.9","-6.44","25Q4","1.03","1.03","2.03","5.57","4.08","","41","4.23","9.09","18.6","各種汽車零配件及模具製造及批發買賣"
"7786","東方風能","123","12.5","+47.7","26Q1","1.2","11.11","7.94","7.07","4.55","","39.4","23.5","27.6","34.6","船舶租賃、離岸風電工程管理、離岸風場長期運維等海事工程服務"
"7791","皇家可口","61.9","13.5","-9.11","26Q1","1.87","5.61","5.34","3.66","6.16","","13.3","11.9","11.6","11.4","冰品急凍熟麵"
"8034","榮群","21.85","10.9","-30","26Q1","0.01","1.42","1","1.51","5.49","-119","12.6","11.4","8.44","13","有線通信機械器材製造業無線通信機械器材製造業通信工程業"
"8114","振樺電","190","12.6","-33.2","26Q1","2.75","18.5","12.55","5.55","6.04","+6.27","29.6","31.4","27.2","11.5","端點銷售管理系統(POS)及其週邊設備和服務資訊服務系統整體解決方案"
"8183","精星","35.05","13.6","+17.4","26Q1","0.3","2.39","3.26","4.5","2.28","-231","56.6","8","11.5","17.3","CC01080電子零組件製造業。CC01050資料儲存及處理設備製造業。一般進出口貿易 (許可業務除外)。"
"8271","宇瞻","192.5","9.38","+264","26Q1","14.54","6.7","2.18","4.51","2.31","-53.5","58.4","18","6.43","13.8","記憶體模組快閃記憶體其他"
"8279","生展","88.3","9.82","-10.1","26Q1","1.23","10.02","8.86","10.14","5.66","+92.5","25.8","11.8","11","13.3","微生物醫藥原料藥製造、銷售、買賣業生化營養品製造、銷售、買賣業預防醫學、動物保健銷售、買賣業"
"8359","錢櫃","67.9","12.3","-6.33","25Q4","5.54","5.54","8.86","9.52","7.43","+82.4","27","7.71","12","13.2","視聽歌唱餐飲"
"8390","金益鼎","107","13","+38.2","26Q1","2.87","6.6","4.84","5.57","3.55","-336","23.5","18","14.9","18.9","廢棄物清除處理業務及貴金屬回收及處理業務。銅、錫、鎳、鋁之金屬五金加工業務。機械五金、電子零件、塑膠廢料、....等之報廢材料買賣業務。"
"8401","白紗科","22.95","8.56","+4.85","26Q1","0.46","2.63","2.59","1.81","5.23","-55.1","43.1","15.9","16","10.8","包裝盒、標籤印刷產品之製造加工買賣。名片、海報、書冊、信封等紙製品印刷之製造加工買賣。桌月曆、手提袋及前各項有關之進出口貿易業務。"
"8410","森田","33.1","12.1","-23.4","26Q1","0.57","3.27","7.54","5.33","4.83","-103","16.7","6.44","15.7","12.3","印刷業製版業電腦及其週邊設備製造業"
"8415","大國鋼","34.45","10.3","+15.4","26Q1","1.03","3.05","2.22","3.04","4.35","-50.6","33.6","11","8.2","11.7","扣件買賣"
"8416","實威","169","12.1","+8.5","26Q1","3.36","13.46","11.01","10.23","5.03","+12.1","16.6","23.9","21.1","20.7","3D 繪圖軟體 ( SOLIDWORKS)3D CAD/CAM/CAE/CAID軟體銷售PDM產品研發生產及銷售, 顧問輔導與客製化服務"
"8424","惠普","69","11.8","-1.54","26Q1","1.47","5.8","4.61","4.24","7.25","-6.46","14.6","18.3","15","13.9","矽酸鈣板、纖維水泥板製造及銷售"
"8426","紅木-KY","20.3","9.81","+5.51","26Q1","-0.42","1.85","5.03","6.55","3.94","-19.8","47.3","7.26","21.4","35.5","全球性高級精品名牌店之裝潢客製化傢俱之製造銷售"
"8436","大江","113","12","+2.76","26Q1","1.92","8.68","7.6","7.73","5.31","+56.2","33.8","11.9","10.1","9.94","保健食品及保養品之研發、製造及銷售"
"8446","華研","87.5","9.99","+24.3","26Q1","1.78","10.3","11.44","8.23","9.14","+17.2","35.4","25.1","30.8","25.1","流行音樂之製作及發行著作權授權藝人演藝經紀"
"8478","東哥遊艇","154","9.38","-15","26Q1","3.8","13.25","10.37","23.66","4.22","+394","37","14.1","13","39.5","豪華遊艇及其零配件製造及銷售。"
"8481","政伸","41.7","13.6","-3.25","26Q1","0.77","3.25","3.01","1.88","6.59","-0.59","18.1","12.6","12.2","7.56","自行車及零配件貼標產品及銷售運動器材貼標產品及銷售其他各項網版印刷產品及銷售"
"8487","愛爾達-創","78","13.9","+30.8","26Q1","2.58","4.03","6.85","5.98","6.16","+40.1","46.2","15.6","29","31.9","數位內容廣告託播代理專案及其他"
"8924","大田","60.5","12.6","+15.6","26Q1","0.05","5.63","5.66","4.85","7.11","-12.4","31.9","11.3","11.8","9.74","高爾夫球桿頭及其半成品之製造、委託加工、裝配及銷售藝術鑄品(不銹鋼質及銅質)之製造加工及銷售前述各項有關產品之進出口貿易業務"
"8930","青鋼","28.3","11.8","-5.79","26Q1","0.62","2.4","3.01","3.12","7.77","-215","35.6","13","16.2","18.1","輕鋼架.防火門之製造,買賣業務經營有關進出口業務各種機械之製造及買賣業務"
