"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"9974","Belc","6,630","10.892","10.89","零售業","45.53%","1.87%","1.68%"
"9028","Zero","3,710","9.371","8.75","陸運","41.13%","4.12%","3.91%"
"9029","Higashi Holdings","1,947","9.772","9.77","陸運","55.99%","3.08%","3.15%"
"9037","Hamakyorex","1,834","12.663","12.66","陸運","35.54%","2.28%","2.73%"
"9049","京福電氣鐵道","6,700","7.263","7.26","陸運","40.95%","0.30%","0.30%"
"9145","Being控股","535","9.196","9.20","陸運","57.27%","2.43%","1.51%"
"2708","久世","1,955","5.142","5.14","批發","60.91%","2.30%","1.25%"
"2767","圓谷Fields控股","1,388","6.637","6.64","批發","35.97%","5.04%","3.40%"
"2768","雙日","5,271.0","10.652","10.65","批發","68.37%","3.13%","3.55%"
"3004","神榮","2,238","6.507","6.51","批發","63.11%","4.92%","5.03%"
"3076","Ai控股","2,690","10.875","6.61","批發","20.47%","3.72%","3.70%"
"3153","八洲電機","2,802","11.659","11.66","批發","50.13%","1.53%","1.83%"
"3393","Startia控股","3,080","12.423","12.42","批發","45.39%","4.45%","4.70%"
"7131","野村工業","3,545","6.612","9.22","批發","52.15%","2.51%","3.27%"
"7458","第一興商","1,739.5","12.368","10.11","批發","43.14%","3.28%","2.95%"
"7481","尾家產業","2,621","7.747","7.75","批發","58.72%","3.89%","4.06%"
"7500","西川計測","10,000","12.641","12.62","批發","39.55%","3.20%","3.02%"
"7525","Rix","3,510","8.943","8.94","批發","38.56%","4.47%","4.24%"
"7575","日本來富恩","1,335","10.017","10.02","批發","17.85%","4.04%","3.62%"
"7599","IDOM二手車","1,433","12.077","12.08","批發","65.98%","2.48%","3.24%"
"7608","Sk Japan","811","10.196","10.20","批發","22.02%","4.69%","3.11%"
"8014","蝶理化工","3,950","8.105","8.10","批發","33.21%","3.72%","3.90%"
"8020","兼松","2,086.5","10.713","10.71","批發","69.51%","3.02%","3.50%"
"8052","椿本興業","2,805","10.254","10.25","批發","49.83%","2.85%","2.94%"
